# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
CELL0565,30,19,1,1,1,18,9,1,21,9,2,5,2,2,1,1,8,3,12,0,1,1,1,6,2,1,10,20,1,33,1,12,5,4,0,5,1,1,3,1,14,17,1,0,3,2,1,7,1,17,13,16,5,1,0,0,2,4,8,4,2,6,3,2,5,0,1,1,8,1,4,12,0,2,3,9,1,12,10,2
CELL0566,6,2,10,15,28,1,5,1,12,5,5,2,23,6,21,0,0,2,4,0,3,5,8,25,0,18,9,1,10,3,0,0,39,0,2,12,93,11,3,2,10,0,2,2,9,1,0,3,10,4,6,0,0,6,8,5,3,5,3,3,6,8,10,8,1,4,0,1,0,3,2,0,7,3,0,0,5,13,1,1
CELL0567,4,8,0,1,8,1,0,9,3,1,0,0,8,2,16,3,1,4,4,5,22,9,3,1,2,1,0,2,1,3,9,1,4,0,3,1,0,5,2,3,3,1,1,7,1,7,12,14,0,4,3,4,2,4,15,5,0,1,1,2,9,12,21,12,10,9,11,0,7,4,1,10,2,0,3,2,15,6,3,8
CELL0568,6,1,6,10,35,0,15,3,8,5,5,5,36,6,21,2,0,4,3,1,3,2,16,28,0,11,14,1,20,3,0,2,40,1,0,15,116,7,2,1,14,11,4,2,2,1,6,3,6,10,7,1,0,4,0,2,6,10,4,2,6,5,12,16,2,3,3,10,0,3,6,0,11,7,1,0,5,19,3,2
CELL0569,20,17,0,4,4,5,7,0,10,5,1,2,4,0,2,3,7,4,10,1,1,0,0,5,0,1,7,14,0,31,0,11,4,1,1,4,3,5,2,2,8,17,0,0,3,2,2,2,1,13,20,12,4,1,0,0,2,1,13,5,1,9,1,2,6,1,2,1,6,1,6,9,0,2,4,9,0,11,0,4
CELL0570,4,2,6,2,1,3,1,1,7,9,12,5,10,3,10,1,22,10,11,15,4,0,6,9,4,2,21,2,2,15,1,2,2,2,6,6,1,3,2,0,1,4,2,17,2,2,0,2,1,15,29,3,3,7,2,0,12,3,0,13,1,2,5,3,5,2,17,7,3,0,3,1,3,21,27,4,1,3,2,24
CELL0571,2,4,10,11,25,2,7,6,9,3,7,5,26,2,11,6,1,3,3,0,2,3,7,28,1,9,10,0,19,1,0,2,21,0,0,19,99,9,1,2,8,4,1,3,5,0,2,2,8,4,4,0,5,2,2,3,3,3,3,4,13,4,10,7,1,0,4,1,0,3,1,0,7,2,0,0,3,18,3,0
CELL0572,1,1,3,2,2,2,0,1,2,5,1,6,6,0,5,0,10,5,6,6,3,1,3,4,4,3,19,3,1,11,0,0,1,0,2,1,1,0,1,0,1,1,0,19,1,0,3,4,0,9,16,1,0,3,1,1,10,0,1,13,8,1,4,1,1,4,5,2,0,2,4,0,1,14,7,3,3,3,0,9
CELL0573,4,1,26,15,15,4,3,6,7,19,2,5,3,9,3,6,0,5,4,12,2,4,13,11,2,17,9,2,5,4,6,7,6,1,0,4,1,8,1,1,10,4,29,0,0,3,1,10,5,6,0,9,3,25,4,2,23,2,1,8,80,6,19,2,22,26,19,1,8,6,1,72,1,5,11,48,1,7,4,2
CELL0574,0,0,18,21,11,6,1,1,6,15,5,7,4,4,3,2,0,2,6,7,3,2,21,19,2,7,7,1,2,2,5,2,3,2,0,1,1,7,6,0,14,3,17,0,1,5,0,5,6,5,1,7,4,16,0,2,17,1,1,5,70,7,8,0,11,23,9,1,5,7,1,52,2,1,10,44,1,3,4,2
CELL0575,23,19,0,4,2,7,6,0,17,6,0,4,1,0,0,2,9,1,5,3,0,2,0,5,1,1,21,24,1,33,6,9,3,9,0,2,2,1,7,4,13,22,1,1,4,3,4,5,1,22,23,14,3,5,2,3,2,3,15,6,0,8,0,4,9,0,2,4,9,1,9,23,1,3,2,14,3,11,6,1
CELL0576,3,3,6,6,30,0,9,1,5,3,9,2,25,3,15,4,0,5,3,0,1,1,6,35,1,16,10,0,10,1,1,0,22,2,0,20,98,5,3,3,6,5,4,4,9,1,3,1,3,4,2,2,1,5,5,3,3,9,2,3,9,1,7,7,2,0,2,4,1,3,2,1,7,4,0,0,5,12,1,0
CELL0577,6,4,5,7,4,2,4,0,8,6,6,3,13,3,4,0,15,6,7,14,4,1,4,2,9,3,26,3,2,14,0,4,0,0,8,2,0,3,1,1,1,2,2,19,0,1,2,1,1,8,22,1,2,3,2,3,15,2,1,7,5,2,8,7,6,3,10,6,4,2,4,3,3,21,19,2,2,3,4,11
CELL0578,7,2,12,16,37,0,7,1,11,7,7,4,35,4,19,2,2,3,1,0,4,5,11,33,4,12,11,0,9,3,1,1,35,1,2,23,119,6,6,2,8,2,2,2,11,0,4,1,8,4,6,4,5,5,4,7,3,6,0,5,9,2,18,10,1,2,1,6,0,3,3,0,10,4,1,0,3,22,2,1
CELL0579,4,7,0,2,3,3,2,16,4,0,0,0,3,1,23,3,1,2,1,3,20,8,3,1,0,1,1,0,0,0,5,1,2,1,0,0,0,2,3,8,2,0,3,3,0,5,7,11,2,3,2,4,7,4,12,2,0,0,2,3,12,6,19,11,16,9,7,0,4,5,2,11,0,0,1,0,10,14,3,4
CELL0580,6,2,12,7,14,4,0,1,7,17,3,5,0,7,5,3,0,3,1,12,1,3,10,7,1,8,4,3,5,2,11,3,2,2,0,0,0,8,9,0,8,0,13,1,1,3,0,2,4,7,0,11,10,11,1,4,20,2,2,4,77,9,8,0,21,16,17,2,3,3,4,47,1,0,2,33,0,3,3,7
CELL0581,3,3,1,2,6,1,1,0,2,9,6,3,11,1,5,1,13,4,6,19,9,0,3,0,4,4,21,5,3,9,0,1,0,2,5,2,0,2,0,1,3,2,3,15,2,2,4,4,1,7,23,1,5,7,2,1,17,0,0,9,2,1,3,5,4,5,7,4,3,3,1,2,0,16,12,4,3,1,1,15
CELL0582,8,8,19,19,12,2,4,3,4,19,4,8,2,7,5,3,1,1,3,12,4,3,16,14,2,3,6,1,1,2,9,3,6,1,0,0,0,6,4,0,4,2,19,0,1,2,1,12,2,8,0,9,2,19,0,5,16,1,0,3,69,6,10,0,27,21,11,0,10,5,4,56,0,2,7,41,0,1,3,8
CELL0583,23,21,0,5,4,9,6,0,12,2,0,2,2,1,0,1,4,3,14,2,0,0,1,4,1,1,13,10,0,30,3,9,5,3,3,2,4,5,6,1,18,14,0,0,1,1,4,6,1,10,17,21,10,7,2,0,3,4,13,2,0,6,0,2,7,1,1,4,8,0,15,16,1,0,1,9,1,10,6,1
CELL0584,4,6,9,13,9,4,2,2,8,8,5,6,2,8,5,4,1,3,3,14,2,2,19,13,1,13,8,4,1,0,6,3,1,1,0,2,1,3,4,0,9,2,19,1,0,4,0,7,3,7,2,15,5,10,0,2,10,1,0,5,74,6,10,2,30,14,14,1,6,5,1,53,0,0,7,34,2,5,3,2
CELL0585,4,1,14,18,11,5,4,1,8,18,2,3,0,3,1,6,1,1,4,12,0,0,15,11,1,9,6,2,2,2,8,1,2,4,0,1,4,6,3,0,9,4,13,1,0,4,1,13,4,6,3,4,10,12,0,6,16,0,2,6,65,4,8,0,23,21,12,2,6,6,1,44,0,0,7,33,1,4,2,3
CELL0586,7,2,25,23,9,2,6,5,9,14,7,5,1,7,2,5,1,5,2,10,2,1,24,11,0,10,14,1,3,2,5,7,5,1,0,2,1,5,3,0,11,2,18,0,0,6,1,8,3,4,1,13,5,21,0,5,13,0,1,5,99,7,16,2,23,21,20,2,6,3,4,75,1,4,10,57,1,3,5,8
CELL0587,7,13,2,2,7,9,0,10,2,2,0,0,11,3,33,1,0,2,0,13,18,4,6,0,3,2,0,0,0,3,3,2,3,1,2,1,1,2,1,6,3,2,2,12,1,9,12,12,3,0,3,2,8,6,15,8,0,3,13,7,16,9,34,9,9,11,13,0,4,8,5,11,1,0,3,0,13,16,2,9
CELL0588,10,7,24,36,19,9,6,5,18,37,9,12,3,15,6,11,6,12,8,28,3,7,28,16,2,16,16,4,10,4,17,4,3,3,0,3,2,8,4,0,9,3,25,2,1,6,1,16,12,17,1,24,8,37,1,7,36,3,3,9,137,12,17,4,37,41,24,6,9,9,4,101,3,5,26,88,4,3,6,13
CELL0589,16,10,1,8,6,6,4,0,22,6,1,4,2,0,1,0,5,3,10,1,0,1,1,7,0,2,9,16,0,31,3,7,6,4,0,2,3,3,2,1,11,12,1,1,2,1,3,6,2,11,10,16,3,4,0,0,1,3,6,7,1,11,0,1,3,0,0,2,12,2,10,14,0,2,1,8,1,12,0,3
CELL0590,5,4,17,21,11,7,4,4,4,18,6,6,2,6,2,9,1,3,2,9,5,2,26,10,1,14,14,2,3,4,6,6,4,1,0,2,4,3,6,0,15,3,16,1,2,7,1,9,1,6,1,13,6,24,2,3,16,0,2,7,81,10,17,1,26,21,11,3,7,7,3,64,1,2,10,55,0,3,4,12
CELL0591,5,4,17,13,18,6,2,4,10,20,3,7,1,2,5,3,0,4,1,7,3,2,25,11,1,15,8,2,0,1,9,4,2,1,1,2,3,4,3,0,5,4,16,2,0,4,3,12,6,8,1,8,3,23,1,2,14,0,2,4,79,5,17,1,23,13,15,3,3,4,1,66,1,3,11,50,1,1,4,9
CELL0592,4,5,21,21,16,4,1,5,10,31,4,5,3,14,8,6,0,1,0,10,2,3,19,7,3,10,4,1,3,5,7,6,6,2,1,5,2,3,9,0,16,3,23,3,2,6,1,6,4,9,1,9,8,20,1,4,24,4,0,3,101,8,15,0,33,13,22,2,3,7,3,76,1,3,9,61,4,3,3,8
CELL0593,32,33,0,13,1,21,17,0,26,11,1,9,2,3,2,2,11,2,17,2,2,0,0,10,4,2,24,27,0,47,3,14,6,6,2,5,3,4,10,2,20,28,0,2,3,4,5,8,0,27,30,26,8,1,0,3,2,11,14,4,3,15,0,4,14,1,4,3,4,1,19,28,2,1,2,12,1,13,6,3
CELL0594,4,8,0,1,5,5,0,4,1,0,1,2,9,1,13,3,1,2,0,5,16,4,1,0,3,2,2,3,0,1,6,0,1,2,1,0,1,1,0,6,7,0,2,6,2,5,8,14,0,1,1,0,7,5,16,2,0,0,5,2,9,9,17,4,16,8,15,1,2,5,5,6,1,1,1,1,13,9,3,6
CELL0595,4,6,25,38,16,7,4,6,6,21,9,7,4,6,5,6,3,4,4,15,7,4,19,15,1,11,10,2,4,3,10,4,6,4,1,1,2,6,7,0,12,3,21,0,1,7,1,18,5,8,1,9,13,29,2,2,22,2,2,9,115,17,14,1,27,30,19,4,6,7,3,84,0,1,10,57,5,7,2,3
CELL0596,9,12,1,6,3,6,0,11,2,2,1,0,9,2,24,1,0,2,4,9,22,19,3,2,1,5,1,0,0,6,11,1,5,0,2,1,2,5,6,5,8,1,1,8,0,7,8,19,4,1,5,3,10,5,19,4,2,1,8,7,27,14,22,15,19,3,13,0,2,11,2,17,1,2,1,0,24,10,4,10
CELL0597,2,3,8,7,8,0,4,1,3,1,7,2,8,1,5,0,12,3,8,18,4,1,4,2,3,1,27,1,1,19,1,3,0,0,4,2,1,1,1,3,2,2,3,19,4,2,0,2,0,10,21,1,1,9,5,1,10,1,1,24,6,3,5,11,6,6,10,7,1,2,2,0,3,27,18,1,3,5,3,15
CELL0598,7,3,13,16,35,2,8,2,6,11,7,2,39,3,22,6,1,2,1,0,1,5,3,28,0,18,12,0,15,1,3,0,28,0,2,21,118,13,5,2,8,8,2,2,7,0,2,3,11,3,5,1,1,7,5,4,2,5,6,4,14,7,9,14,2,5,1,1,0,1,4,0,10,2,3,0,6,14,4,1
CELL0599,4,5,16,21,12,7,1,4,8,21,4,6,2,8,4,6,1,3,4,8,4,2,16,6,2,6,8,0,3,3,6,1,8,3,1,0,0,11,7,0,9,1,18,0,0,5,1,8,3,6,0,13,8,36,3,3,18,1,1,6,77,9,12,0,27,22,13,3,6,5,2,64,1,1,12,41,2,1,1,1
CELL0600,0,1,6,6,6,2,5,1,4,4,5,1,7,1,6,2,13,10,13,16,2,0,5,1,4,0,20,5,9,8,1,0,1,1,7,2,1,2,0,0,0,1,5,25,1,0,4,4,1,6,21,0,1,9,1,1,10,1,1,15,6,2,1,2,2,8,13,5,1,1,2,0,3,15,13,6,1,1,2,23
CELL0601,5,9,1,2,12,5,0,19,2,2,1,1,11,4,42,2,1,3,1,6,32,13,3,2,1,2,0,1,0,4,16,1,4,0,3,1,1,2,5,7,9,0,3,6,1,9,12,20,2,1,7,0,11,7,16,5,1,0,16,8,18,15,30,5,14,8,15,0,9,13,3,17,2,1,3,2,21,11,5,6
CELL0602,10,11,3,2,14,7,0,20,3,0,0,0,17,2,28,4,1,8,3,9,50,13,2,1,3,2,1,3,1,2,9,2,3,0,3,1,1,2,5,6,10,1,2,6,1,9,16,13,5,1,3,1,16,10,23,4,1,0,13,5,22,13,32,25,22,9,12,0,1,9,7,17,3,0,2,0,22,15,1,15
CELL0603,14,11,0,4,0,9,8,0,15,2,0,1,0,4,0,0,0,1,10,2,2,1,1,8,2,1,11,20,1,27,8,10,2,1,2,4,1,4,2,0,11,7,1,1,0,0,2,8,0,11,12,10,5,1,0,2,5,5,5,1,0,8,1,3,8,0,1,2,4,0,7,25,0,1,4,8,1,6,2,0
CELL0604,5,5,10,9,34,1,11,5,10,9,16,2,39,8,16,6,1,7,2,0,4,4,21,35,1,15,12,0,19,7,0,1,41,3,5,18,149,11,4,6,5,5,4,2,9,2,0,3,4,4,6,3,2,10,5,4,4,11,4,4,9,2,10,14,2,4,6,4,0,5,2,1,15,4,0,0,10,21,6,0
CELL0605,7,6,5,14,35,1,7,3,4,8,5,2,31,4,10,3,1,6,3,0,0,4,13,22,0,13,10,1,14,5,1,1,22,3,0,15,109,12,3,8,7,4,2,4,7,2,1,4,5,8,8,0,1,4,4,4,1,10,5,4,4,5,8,10,6,3,3,1,0,5,5,0,6,6,3,0,5,15,3,1
CELL0606,7,3,14,21,47,2,14,5,10,16,8,6,40,7,22,5,2,3,1,0,4,4,14,56,1,13,15,0,23,4,4,1,50,0,2,30,187,11,2,3,11,13,4,10,11,1,4,2,11,12,5,1,1,8,4,7,6,11,8,3,9,7,19,14,2,4,5,9,0,8,7,0,18,5,2,0,2,22,3,0
CELL0607,6,2,12,9,32,0,12,4,8,10,9,1,20,7,26,3,2,3,1,1,2,5,12,36,3,11,14,1,14,3,0,1,26,1,1,8,102,4,3,7,13,5,4,1,11,3,2,3,9,5,9,0,5,8,2,4,1,6,5,5,8,5,18,11,2,4,1,5,0,4,4,0,12,4,0,0,4,28,3,0
CELL0608,5,3,3,13,25,0,7,3,10,5,7,1,20,3,16,2,1,3,3,0,2,2,7,32,0,9,8,0,22,6,0,0,33,1,0,21,114,8,4,0,3,3,0,2,6,1,0,3,7,4,3,0,0,4,9,2,2,5,3,3,5,7,16,11,0,1,1,3,1,2,2,0,7,3,0,0,3,30,2,0
CELL0609,17,21,0,7,2,13,3,0,16,9,2,1,2,0,0,2,4,1,9,0,0,1,0,8,2,0,12,24,0,29,3,7,1,2,0,0,2,4,2,1,18,9,0,2,5,2,3,8,1,9,17,20,8,3,2,1,0,0,6,5,2,9,2,2,2,3,1,1,8,3,14,16,0,1,0,12,1,12,4,0
CELL0610,4,5,18,23,21,2,2,3,6,25,4,5,1,8,5,2,0,3,6,11,2,2,26,16,1,12,13,1,2,5,8,3,5,1,0,2,4,9,1,0,11,2,25,1,2,7,1,15,5,16,2,14,9,15,2,1,24,3,1,6,98,11,13,1,21,22,14,3,7,6,5,67,2,2,19,51,1,4,1,8
CELL0611,6,1,9,11,3,1,2,4,4,12,9,8,14,2,24,1,21,16,10,29,5,2,10,9,4,2,42,4,3,9,0,1,1,3,16,7,2,6,1,0,2,2,5,38,3,3,2,9,1,20,34,2,5,10,3,0,23,4,2,20,3,5,6,9,7,14,24,7,3,6,1,0,0,22,22,11,1,2,3,20
CELL0612,6,2,3,3,3,2,3,2,6,4,5,6,12,1,4,0,11,7,2,15,1,0,3,6,2,2,18,3,4,10,0,2,1,1,1,2,1,2,0,0,1,2,2,19,3,0,1,2,1,12,21,0,3,5,4,2,8,3,0,12,1,0,1,4,8,7,18,6,0,1,0,1,0,19,18,1,0,4,1,20
CELL0613,3,1,7,4,8,3,4,3,2,13,3,7,14,4,10,0,19,9,10,24,4,0,12,6,3,4,34,6,5,9,1,4,0,1,2,3,1,1,1,1,5,4,4,51,1,0,5,8,1,12,28,2,5,12,2,1,18,1,1,19,1,1,8,6,4,13,31,6,3,4,3,0,2,27,24,4,6,5,2,29
CELL0614,8,10,2,3,13,11,0,15,5,2,1,0,14,0,24,2,0,6,1,9,47,9,2,3,2,2,1,3,2,1,11,1,2,1,0,1,1,3,7,13,6,2,3,7,1,10,24,25,1,0,3,4,10,11,17,6,1,0,12,3,15,18,43,14,13,20,24,1,3,8,8,13,3,4,7,3,21,15,1,12
CELL0615,4,3,5,7,11,0,2,2,4,5,7,1,10,2,6,1,12,4,7,14,2,0,5,3,0,1,17,5,2,12,0,3,1,1,5,3,0,1,1,0,0,3,5,17,1,1,1,3,0,9,11,2,1,3,1,1,5,2,0,15,5,2,3,3,2,6,8,4,1,3,3,1,4,18,15,3,1,3,3,7
CELL0616,6,2,5,6,6,0,0,1,4,7,6,4,14,1,5,0,12,10,7,14,1,0,16,3,4,2,23,3,4,10,0,3,1,0,4,0,1,2,0,1,2,1,6,34,1,2,1,3,1,9,29,1,2,4,3,1,8,1,1,5,4,1,2,7,4,8,10,2,2,2,4,1,0,14,31,4,0,4,4,16
CELL0617,3,0,5,1,5,2,0,0,3,10,8,2,9,0,11,1,16,5,6,20,2,1,5,5,5,3,30,6,8,8,1,3,4,2,4,3,0,4,1,1,1,2,2,14,0,2,1,5,1,8,30,2,2,5,1,0,17,3,1,22,3,0,7,8,4,9,17,4,0,3,1,0,6,23,18,8,5,1,7,12
CELL0618,5,3,7,13,11,5,2,2,4,11,1,9,2,4,6,2,0,0,1,10,3,3,15,9,0,8,4,1,6,1,3,1,4,1,0,3,0,6,4,0,8,1,11,0,1,1,0,8,1,4,0,4,7,16,1,3,13,2,0,2,64,6,10,1,24,17,13,3,6,2,1,45,1,0,10,39,1,0,4,2
CELL0619,26,10,0,9,3,11,3,0,7,6,1,4,0,4,1,4,3,0,10,0,2,2,2,6,2,1,14,25,0,26,0,11,3,7,0,4,0,0,4,3,12,12,1,1,1,1,3,8,0,12,18,25,3,0,2,2,0,2,8,8,2,6,1,0,3,0,1,2,5,0,11,20,1,2,1,8,0,3,4,0
CELL0620,4,1,6,5,5,1,3,1,10,7,10,4,12,0,11,1,22,4,4,13,5,0,10,4,5,2,27,2,3,8,0,2,0,1,5,2,1,2,0,0,2,2,4,24,4,5,2,6,0,5,16,2,4,8,2,0,12,2,2,20,1,2,6,7,2,6,15,5,2,3,6,0,4,21,17,4,2,4,3,18
CELL0621,7,21,1,4,5,5,1,15,5,0,0,0,7,1,27,4,0,2,1,7,34,7,0,0,4,4,0,1,1,2,9,2,3,0,2,0,0,5,10,4,10,1,3,8,2,4,4,16,2,1,4,1,8,6,24,4,0,1,14,10,10,14,24,12,8,4,16,3,6,8,0,13,3,1,3,1,22,14,2,6
CELL0622,2,2,7,14,45,2,13,1,6,10,10,3,44,9,24,4,2,8,2,0,3,8,15,34,1,17,12,0,17,4,1,1,32,1,1,23,131,11,3,4,7,10,2,6,12,0,3,4,5,2,6,0,3,4,2,0,2,15,4,4,14,3,9,14,3,3,3,6,0,3,4,0,6,2,0,0,9,11,0,0
CELL0623,4,3,4,7,7,2,2,3,5,6,14,5,14,1,7,0,16,9,11,18,7,0,6,5,5,4,45,4,9,16,0,6,0,5,15,2,1,0,1,1,5,4,5,29,4,2,6,3,1,8,28,3,4,10,5,2,20,3,1,13,7,4,9,7,10,7,18,11,2,1,3,2,1,23,29,7,5,5,0,22
CELL0624,4,12,3,1,6,11,0,16,2,1,0,0,3,0,27,2,0,4,1,11,38,5,0,0,3,1,0,3,0,1,6,0,6,0,1,1,1,1,2,3,4,0,4,2,3,6,15,9,1,1,1,0,7,1,22,4,0,1,9,8,13,10,28,6,7,6,11,1,9,5,3,8,1,2,3,1,16,8,1,7
CELL0625,5,10,1,1,12,5,0,15,1,1,0,1,5,1,20,1,2,6,2,12,30,15,1,0,1,4,2,2,0,4,9,1,2,0,3,2,0,4,2,2,8,0,0,4,1,11,7,18,1,4,3,0,10,8,21,4,1,2,11,7,19,19,34,8,31,14,15,0,5,7,4,14,5,1,2,1,18,19,0,8
CELL0626,8,20,3,3,17,5,2,12,4,4,0,0,11,2,34,4,1,1,4,8,42,20,2,1,1,2,1,2,0,4,6,2,7,2,6,0,1,4,6,10,9,1,6,3,1,10,16,19,2,0,4,0,8,6,20,3,0,2,21,10,25,18,30,14,25,10,19,0,5,9,11,19,4,0,5,2,28,22,4,10
CELL0627,4,3,5,6,7,0,3,1,6,3,8,7,12,1,7,1,12,4,5,18,5,0,6,4,4,6,30,3,5,11,1,0,1,0,6,2,0,3,1,0,3,2,3,17,3,3,2,2,1,11,25,0,3,2,2,0,10,1,0,13,4,5,8,5,3,3,12,4,0,3,2,0,5,13,16,5,2,3,3,18
CELL0628,3,0,11,9,26,0,13,4,8,5,5,3,25,5,17,2,0,2,2,0,2,4,4,19,0,11,12,1,11,2,0,2,11,2,0,15,84,6,3,2,6,4,3,4,7,0,2,2,5,4,4,0,0,7,7,4,1,5,3,3,5,6,13,4,0,3,0,1,0,5,5,2,12,1,1,0,5,11,1,0
CELL0629,6,3,8,21,55,1,11,3,12,8,11,5,62,10,32,9,3,4,2,1,4,7,16,39,0,20,16,1,21,3,2,2,46,1,0,25,151,12,3,3,15,10,2,5,19,0,4,4,13,7,4,1,1,12,7,9,4,9,4,8,13,2,22,19,4,4,4,6,0,4,5,0,14,5,1,0,5,30,4,1
CELL0630,20,22,0,9,4,13,8,0,12,5,2,6,3,0,1,0,6,0,2,1,1,0,1,4,1,2,13,24,0,32,3,12,7,5,2,3,2,3,2,1,15,13,3,0,0,1,5,6,1,15,20,12,8,1,0,0,0,2,8,5,1,9,4,3,4,0,0,2,13,0,11,22,2,1,4,6,0,13,6,1
CELL0631,2,1,7,8,7,2,1,2,4,7,5,7,11,3,9,1,22,7,13,24,3,1,4,5,3,1,24,4,3,11,0,1,1,0,6,3,1,1,0,0,2,6,6,38,1,1,3,6,2,11,20,2,3,5,5,1,20,2,1,17,1,3,2,8,3,7,17,5,0,3,1,0,1,14,20,7,1,4,5,22
CELL0632,6,2,23,17,15,9,2,5,5,22,6,5,2,14,4,5,1,3,1,9,2,2,16,13,2,8,14,3,3,1,11,5,7,2,1,2,3,8,9,0,8,2,23,1,0,4,1,9,4,7,1,10,6,30,1,2,21,1,1,2,89,11,19,2,22,27,21,3,8,5,3,59,1,1,7,43,1,3,4,13
CELL0633,2,1,6,4,6,1,4,3,4,3,5,5,13,1,17,2,15,7,8,12,2,1,7,5,2,2,23,1,1,11,0,4,1,1,2,1,0,1,0,1,1,0,2,18,2,2,0,0,0,6,27,2,3,11,1,0,5,1,0,14,4,4,3,4,1,1,14,7,2,1,4,1,5,18,14,3,3,2,2,7
CELL0634,7,2,5,5,6,2,2,1,3,8,5,2,8,2,2,1,16,6,8,17,4,1,7,5,2,4,28,7,2,8,0,3,1,3,5,5,0,1,0,2,2,4,2,32,1,5,3,4,1,11,24,1,3,4,1,0,13,3,1,15,5,0,8,6,2,5,16,4,3,5,4,0,4,19,27,4,0,7,1,18
CELL0635,5,5,28,31,23,9,1,1,12,33,4,10,3,11,4,5,0,6,2,13,1,4,21,10,1,12,11,0,3,1,9,1,2,4,3,5,2,3,12,1,10,3,23,1,2,4,0,11,10,9,3,14,6,27,1,3,25,6,3,8,108,11,20,2,28,23,19,2,12,11,6,87,5,4,9,55,0,5,6,9
CELL0636,4,0,8,16,41,0,6,3,7,5,7,7,40,6,12,5,1,4,0,1,2,5,13,25,0,10,13,0,12,8,1,2,29,1,0,12,106,9,10,4,6,6,2,3,4,0,0,1,6,4,4,1,0,7,1,4,5,9,3,5,6,4,7,13,1,3,2,2,0,1,0,0,7,4,2,0,3,13,3,0
CELL0637,1,2,8,11,5,1,3,0,10,8,7,6,12,1,5,2,23,8,10,28,7,2,9,15,2,4,35,6,7,17,0,3,1,1,7,2,2,3,0,4,2,4,4,46,3,5,5,7,3,17,39,3,4,13,4,0,27,5,1,27,5,2,4,13,6,13,28,10,4,4,1,2,5,31,29,10,2,4,3,28
CELL0638,5,2,2,7,3,0,2,0,3,7,8,4,14,1,8,2,11,3,8,17,1,0,5,3,2,2,16,5,5,5,0,5,0,1,3,2,2,2,0,1,1,3,3,19,3,3,3,2,4,8,28,5,4,7,2,1,9,1,0,11,3,4,6,4,4,7,5,10,3,3,1,0,0,12,12,1,0,2,3,19
CELL0639,22,16,0,4,1,15,3,0,17,6,0,3,2,1,1,2,4,0,5,0,1,0,0,9,2,0,7,24,1,38,2,6,3,3,1,3,1,2,1,2,10,9,2,0,3,5,1,8,0,11,18,17,5,1,1,1,6,3,12,5,0,7,0,1,5,1,0,1,8,1,11,17,2,2,1,7,2,10,4,1
CELL0640,9,3,9,12,29,2,12,0,14,11,5,5,37,5,17,7,0,5,1,0,1,8,16,26,1,13,12,1,13,2,0,1,31,4,1,21,127,11,4,4,5,6,5,3,10,0,2,2,13,7,6,2,5,6,7,3,4,10,0,2,13,3,13,9,1,4,4,4,0,4,2,0,10,8,0,0,8,21,3,0
CELL0641,2,5,3,11,7,0,2,1,3,7,7,1,9,1,10,1,11,9,5,17,3,1,7,2,2,1,21,7,4,11,0,0,1,2,9,1,1,1,1,1,3,2,4,24,1,2,3,3,1,4,31,1,6,6,6,0,10,5,0,20,5,3,9,6,8,9,17,2,3,1,3,0,1,21,30,7,5,4,4,18
CELL0642,15,29,3,2,18,5,0,33,3,4,0,0,19,5,68,5,5,5,6,26,77,19,5,1,3,7,3,2,2,11,18,1,9,2,4,0,2,8,9,11,21,0,8,17,5,12,24,44,6,1,7,6,21,11,37,18,2,3,20,13,41,28,62,24,35,25,26,2,10,23,18,32,3,2,3,2,43,25,6,19
CELL0643,10,7,10,11,43,0,8,1,12,2,5,6,47,9,16,8,1,6,4,1,3,7,12,29,3,24,17,0,23,2,1,1,42,3,3,17,150,5,3,4,10,12,3,3,11,0,2,3,11,8,9,2,1,10,4,5,5,4,4,11,10,8,14,11,6,1,1,4,0,3,3,0,14,5,2,0,7,21,3,1
CELL0644,4,1,12,22,9,3,8,4,5,13,7,9,0,8,5,2,0,2,1,12,4,2,21,11,1,7,8,5,2,3,5,5,5,2,0,3,3,6,1,0,10,3,18,0,1,6,0,5,3,7,2,12,3,18,0,2,24,4,1,7,68,5,9,0,16,19,17,2,5,6,3,59,1,0,8,44,2,4,1,5
CELL0645,3,0,13,18,15,5,3,2,3,20,1,8,1,9,3,6,2,1,2,10,3,2,11,16,4,13,13,5,2,2,7,4,7,4,1,1,1,3,6,0,6,2,19,1,0,7,0,11,2,8,4,9,2,19,3,6,18,2,3,9,82,8,13,1,25,20,21,3,6,7,2,54,2,4,7,61,1,3,4,12
